"Datum","Feiertag","Kanton","Typ"
2000-01-01,"Neujahrstag","ZH","A"
2000-01-01,"Neujahrstag","BE","A"
2000-01-01,"Neujahrstag","LU","A"
2000-01-01,"Neujahrstag","UR","A"
2000-01-01,"Neujahrstag","SZ","A"
2000-01-01,"Neujahrstag","OW","A"
2000-01-01,"Neujahrstag","NW","A"
2000-01-01,"Neujahrstag","GL","A"
2000-01-01,"Neujahrstag","ZG","A"
2000-01-01,"Neujahrstag","FR","A"
2000-01-01,"Neujahrstag","SO","A"
2000-01-01,"Neujahrstag","BS","A"
2000-01-01,"Neujahrstag","BL","A"
2000-01-01,"Neujahrstag","SH","A"
2000-01-01,"Neujahrstag","AR","A"
2000-01-01,"Neujahrstag","AI","A"
2000-01-01,"Neujahrstag","SG","A"
2000-01-01,"Neujahrstag","GR","A"
2000-01-01,"Neujahrstag","AG","A"
2000-01-01,"Neujahrstag","TG","A"
2000-01-01,"Neujahrstag","TI","A"
2000-01-01,"Neujahrstag","VD","A"
2000-01-01,"Neujahrstag","VS","A"
2000-01-01,"Neujahrstag","NE","A"
2000-01-01,"Neujahrstag","GE","A"
2000-01-01,"Neujahrstag","JU","A"
2000-01-02,"Berchtoldstag","ZH","D"
2000-01-02,"Berchtoldstag","BE","A"
2000-01-02,"Berchtoldstag","LU","D"
2000-01-02,"Berchtoldstag","OW","D"
2000-01-02,"Berchtoldstag","GL","D"
2000-01-02,"Berchtoldstag","ZG","D"
2000-01-02,"Berchtoldstag","FR","D"
2000-01-02,"Berchtoldstag","SO","D"
2000-01-02,"Berchtoldstag","SH","D"
2000-01-02,"Berchtoldstag","GR","d"
2000-01-02,"Berchtoldstag","AG","a"
2000-01-02,"Berchtoldstag","TG","A"
2000-01-02,"Berchtoldstag","VD","A"
2000-01-02,"Berchtoldstag","NE","D"
2000-01-02,"Berchtoldstag","GE","D"
2000-01-02,"Berchtoldstag","JU","B"
2000-01-06,"Heilige Drei Könige","UR","B"
2000-01-06,"Heilige Drei Könige","SZ","B"
2000-01-06,"Heilige Drei Könige","GR","a"
2000-01-06,"Heilige Drei Könige","TI","A"
2000-03-19,"Josefstag","LU","a"
2000-03-19,"Josefstag","UR","B"
2000-03-19,"Josefstag","SZ","A"
2000-03-19,"Josefstag","NW","B"
2000-03-19,"Josefstag","ZG","a"
2000-03-19,"Josefstag","GR","a"
2000-03-19,"Josefstag","TI","B"
2000-03-19,"Josefstag","VS","A"
2000-04-21,"Karfreitag","ZH","A"
2000-04-21,"Karfreitag","BE","A"
2000-04-21,"Karfreitag","LU","A"
2000-04-21,"Karfreitag","UR","A"
2000-04-21,"Karfreitag","SZ","A"
2000-04-21,"Karfreitag","OW","A"
2000-04-21,"Karfreitag","NW","A"
2000-04-21,"Karfreitag","GL","A"
2000-04-21,"Karfreitag","ZG","A"
2000-04-21,"Karfreitag","FR","A"
2000-04-21,"Karfreitag","SO","A"
2000-04-21,"Karfreitag","BS","A"
2000-04-21,"Karfreitag","BL","A"
2000-04-21,"Karfreitag","SH","A"
2000-04-21,"Karfreitag","AR","A"
2000-04-21,"Karfreitag","AI","A"
2000-04-21,"Karfreitag","SG","A"
2000-04-21,"Karfreitag","GR","A"
2000-04-21,"Karfreitag","AG","A"
2000-04-21,"Karfreitag","TG","A"
2000-04-21,"Karfreitag","VD","A"
2000-04-21,"Karfreitag","NE","A"
2000-04-21,"Karfreitag","GE","A"
2000-04-21,"Karfreitag","JU","A"
2000-04-24,"Ostermontag","ZH","A"
2000-04-24,"Ostermontag","BE","A"
2000-04-24,"Ostermontag","LU","D"
2000-04-24,"Ostermontag","UR","B"
2000-04-24,"Ostermontag","SZ","B"
2000-04-24,"Ostermontag","OW","D"
2000-04-24,"Ostermontag","NW","D"
2000-04-24,"Ostermontag","GL","A"
2000-04-24,"Ostermontag","ZG","D"
2000-04-24,"Ostermontag","FR","D"
2000-04-24,"Ostermontag","SO","d"
2000-04-24,"Ostermontag","BS","A"
2000-04-24,"Ostermontag","BL","A"
2000-04-24,"Ostermontag","SH","A"
2000-04-24,"Ostermontag","AR","A"
2000-04-24,"Ostermontag","AI","A"
2000-04-24,"Ostermontag","SG","A"
2000-04-24,"Ostermontag","GR","A"
2000-04-24,"Ostermontag","AG","a"
2000-04-24,"Ostermontag","TG","A"
2000-04-24,"Ostermontag","TI","A"
2000-04-24,"Ostermontag","VD","A"
2000-04-24,"Ostermontag","NE","D"
2000-04-24,"Ostermontag","GE","A"
2000-04-24,"Ostermontag","JU","A"
2000-05-01,"Tag der Arbeit","ZH","A"
2000-05-01,"Tag der Arbeit","FR","c"
2000-05-01,"Tag der Arbeit","SO","C"
2000-05-01,"Tag der Arbeit","BS","A"
2000-05-01,"Tag der Arbeit","BL","A"
2000-05-01,"Tag der Arbeit","SH","B"
